clientbankpartner_pin,partnerrolestart_date,day_0,day_1,day_2,day_3,day_4,day_5,day_6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,partnerrolestart_date_year,partnerrolestart_date_month,partnerrolestart_date_day,partnerrolestart_date_dayofweek,clients_count,days_after_partnership,active_months,last_active_month_ago,avg_clients_monthly,median_clients_monthly,std_clients_monthly,var_clients_monthly,max_clients_monthly,max_zero_month,is_any_1_month,is_any_2_month,is_any_3_month,last_month_to_avg,last_month_to_all,avg_clients_count_per_ccode,0_oh,1_oh,2_oh,3_oh,4_oh,5_oh,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,max_diff,min_diff,avg_weekdays,median_weekdays,std_weekdays,var_weekdays,weekday2weekends,weekday2all,weekends2all,active_in_weekends,target
122027,2019-02-01,18.0,17.0,10.0,23.0,4.0,27.0,14.0,5,10,2,8,4,5,3,17,9,1,0,2,1,3,0,30,9,4,2019,2,1,4,113,547,16,1,6.411764705882353,4.0,7.316852614337042,53.536332179930795,30,1,1,1,1,0.6238532110091742,0.035398230088495575,13.197445334487984,0,0,0,0,1,0,5,-8,6,-4,1,-2,14,-8,-8,-1,2,-1,2,-3,30,-21,-5,30,-21,16.142857142857142,17.0,7.159979477795239,51.265306122448976,1.7560975609756098,0.6371681415929203,0.36283185840707965,1,1
270277,2020-04-01,46.0,60.0,36.0,51.0,0.0,55.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,67,75,52,72,2020,4,1,2,273,122,5,1,50.25,59.5,26.299952471439944,691.6875,75,0,1,1,1,1.4328358208955223,0.26373626373626374,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,60,8,-23,20,60,-23,39.0,46.0,19.33169122747117,373.7142857142857,2.4125,0.706959706959707,0.29304029304029305,1,0
238679,2020-02-01,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2020,2,1,5,4,182,4,1,0.5,0.5,0.5,0.25,1,1,1,0,1,2.0,0.25,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,1,-1,0.5714285714285714,0.0,0.7284313590846836,0.5306122448979592,1.0,0.5,0.5,1,0
118398,2019-09-01,23.0,33.0,7.0,32.0,20.0,45.0,32.0,0,0,0,0,0,0,12,9,25,23,31,21,11,23,30,7,0,0,2019,9,1,6,192,335,10,3,20.555555555555557,23.0,7.661028522639199,58.691358024691354,31,0,0,0,1,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,12,-3,16,-2,8,-10,-10,12,7,-23,-7,0,16,-23,27.428571428571427,32.0,11.17212274058123,124.81632653061226,1.4935064935064934,0.5989583333333334,0.4010416666666667,1,1
10402,2019-01-01,69.0,77.0,51.0,71.0,44.0,40.0,19.0,92,59,77,40,22,15,7,14,5,19,18,2,1,0,0,0,0,0,2019,1,1,1,371,578,13,6,30.833333333333332,18.5,28.480500151663225,811.138888888889,92,0,0,0,0,0.0,0.0,22.39424141749723,0,1,0,0,0,0,-33,18,-37,-18,-7,-8,7,-9,14,-1,-16,-1,-1,0,0,0,0,18,-37,53.0,51.0,19.14605516996722,366.57142857142856,5.288135593220339,0.8409703504043127,0.15902964959568733,1,1
121046,2020-03-01,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,2020,3,1,6,6,153,3,3,2.5,2.5,0.5,0.25,3,0,0,0,1,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-2,-1,0,2,-2,0.8571428571428571,0.0,1.124858267715973,1.2653061224489797,1.0,0.5,0.5,1,0
13084,2020-05-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2020,5,1,4,2,92,2,2,0.5,0.5,0.5,0.25,1,1,0,1,0,0.0,0.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,0.2857142857142857,0.0,0.4517539514526257,0.20408163265306128,0.0,1.0,0.0,0,0
121591,2019-01-01,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,1,7,578,6,2,0.375,0.0,0.5994789404140899,0.359375,2,9,0,1,0,0.0,0.0,13.197445334487984,0,0,0,0,1,0,-1,2,-1,0,-1,1,-1,0,0,0,0,0,0,0,0,1,-1,2,-1,1.0,1.0,0.7559289460184544,0.5714285714285714,6.0,0.8571428571428571,0.14285714285714285,1,1
276484,2020-04-01,0.0,2.0,1.0,4.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,1,2020,4,1,2,10,122,4,1,3.0,3.0,0.816496580927726,0.6666666666666666,4,0,1,1,1,0.3333333333333333,0.1,22.39424141749723,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,-2,-1,3,-2,1.4285714285714286,1.0,1.2936264483053452,1.673469387755102,2.3333333333333335,0.7,0.3,1,0
6781,2020-06-23,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020,6,23,1,2,39,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,1.0,13.197445334487984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.2857142857142857,0.0,0.45175395145262565,0.20408163265306123,1.0,0.5,0.5,1,0
